Name,MC_USD_Billion,MC_GBP_Billion,MC_INR_Billion,MC_EUR_Billion
JPMorgan Chase,432.92,318.63,37118.56,369.71
Bank of America,231.52,170.4,19850.52,197.72
Industrial and Commercial Bank of China,194.56,143.2,16681.57,166.15
Agricultural Bank of China,160.68,118.26,13776.7,137.22
HDFC Bank,157.91,116.22,13539.2,134.86
Wells Fargo,155.87,114.72,13364.29,133.11
HSBC Holdings PLC,148.9,109.59,12766.69,127.16
Morgan Stanley,140.83,103.65,12074.76,120.27
China Construction Bank,139.82,102.91,11988.17,119.41
Bank of China,136.81,100.69,11730.09,116.84
